start_datetime,translated_calling_number,translated_called_number,connect_datetime,disconnect_datetime,charged_duration,originating_carrier_id,originating_transit_carrier_id,terminating_carrier_id,terminating_transit_carrier_id,call_direction,service_type,release_cause_number,sip_response
09-12-2019 17:43,4509870555742,4509870555742,09-12-2019 17:43,09-12-2019 18:23,40,6,6,9,9,2,3,18,300
20-12-2019 11:16,7484298532619,7484298532619,20-12-2019 11:16,20-12-2019 12:42,86,2,2,4,4,2,1,16,200
13-12-2019 16:03,4519783976623,4519783976623,13-12-2019 16:03,13-12-2019 17:11,68,1,1,5,5,2,3,17,500
25-12-2019 18:27,8810508151283,8810508151283,25-12-2019 18:27,25-12-2019 19:06,39,5,5,0,0,1,3,16,404
22-12-2019 13:16,8636795671328,8636795671328,22-12-2019 13:16,22-12-2019 14:07,51,1,1,9,9,2,3,16,500
21-12-2019 03:53,9269321879978,9269321879978,21-12-2019 03:53,21-12-2019 04:10,17,7,7,1,1,1,1,16,200
29-12-2019 12:40,1589133385280,1589133385280,29-12-2019 12:40,29-12-2019 13:25,45,0,0,5,5,1,3,16,200
19-12-2019 08:15,7583925333978,7583925333978,19-12-2019 08:15,19-12-2019 09:48,93,5,5,5,5,2,1,18,300
02-12-2019 07:35,8230502707305,8230502707305,02-12-2019 07:35,02-12-2019 08:54,79,6,6,1,1,2,3,16,500
23-12-2019 20:19,1134318946039,1134318946039,23-12-2019 20:19,23-12-2019 21:01,42,5,5,3,3,2,3,18,404
27-12-2019 22:45,1166322934793,1166322934793,27-12-2019 22:45,27-12-2019 22:51,6,1,1,3,3,1,1,16,200
06-12-2019 13:01,7889616579651,7889616579651,06-12-2019 13:01,06-12-2019 13:46,45,1,1,1,1,2,3,16,500
03-12-2019 08:03,1609076126784,1609076126784,03-12-2019 08:03,03-12-2019 08:41,38,1,1,0,0,2,1,18,200
11-12-2019 02:24,4279079633870,4279079633870,11-12-2019 02:24,11-12-2019 02:47,23,1,1,3,3,1,1,16,300
08-12-2019 14:35,6723641512233,6723641512233,08-12-2019 14:35,08-12-2019 14:48,13,8,8,3,3,2,2,18,404
19-12-2019 18:12,9775049423030,9775049423030,19-12-2019 18:12,19-12-2019 18:29,17,9,9,9,9,2,2,17,404
26-12-2019 02:15,8959392838300,8959392838300,26-12-2019 02:15,26-12-2019 02:22,7,1,1,4,4,1,3,18,200
15-12-2019 13:05,5829385069811,5829385069811,15-12-2019 13:05,15-12-2019 14:16,71,4,4,6,6,2,2,18,500
12-12-2019 21:49,5213292737544,5213292737544,12-12-2019 21:49,12-12-2019 22:54,65,1,1,5,5,1,3,16,404
21-12-2019 22:11,8328554705242,8328554705242,21-12-2019 22:11,21-12-2019 22:42,31,8,8,0,0,1,3,17,200
21-12-2019 16:38,2299237437033,2299237437033,21-12-2019 16:38,21-12-2019 16:50,12,2,2,4,4,2,3,18,404
08-12-2019 04:19,2136068144539,2136068144539,08-12-2019 04:19,08-12-2019 05:20,61,6,6,2,2,2,1,16,200
10-12-2019 04:22,7593487677567,7593487677567,10-12-2019 04:22,10-12-2019 04:37,15,1,1,3,3,2,3,17,404
10-12-2019 17:54,9663541555407,9663541555407,10-12-2019 17:54,10-12-2019 17:57,3,5,5,9,9,2,3,18,200
12-12-2019 03:07,7875966775437,7875966775437,12-12-2019 03:07,12-12-2019 03:25,18,1,1,1,1,2,1,18,300
16-12-2019 17:11,9314205995716,9314205995716,16-12-2019 17:11,16-12-2019 18:29,78,5,5,8,8,2,1,18,500
15-12-2019 03:54,6907851494834,6907851494834,15-12-2019 03:54,15-12-2019 05:15,81,4,4,8,8,1,1,18,500
29-12-2019 16:33,5463991269158,5463991269158,29-12-2019 16:33,29-12-2019 17:21,48,1,1,2,2,1,2,16,300
28-12-2019 17:08,9018156617220,9018156617220,28-12-2019 17:08,28-12-2019 18:23,75,3,3,7,7,1,1,16,300
18-12-2019 04:58,2158390138979,2158390138979,18-12-2019 04:58,18-12-2019 06:16,78,6,6,1,1,1,1,16,200
19-12-2019 09:22,1608133100474,1608133100474,19-12-2019 09:22,19-12-2019 10:29,67,3,3,0,0,2,1,16,404
28-12-2019 05:01,3093805993913,3093805993913,28-12-2019 05:01,28-12-2019 05:27,26,8,8,0,0,1,3,18,404
20-12-2019 02:53,9794830696275,9794830696275,20-12-2019 02:53,20-12-2019 03:58,65,2,2,2,2,2,1,18,300
28-12-2019 22:13,9849913607813,9849913607813,28-12-2019 22:13,28-12-2019 22:38,25,2,2,4,4,1,1,16,200
22-12-2019 16:40,6961760217188,6961760217188,22-12-2019 16:40,22-12-2019 17:53,73,9,9,9,9,2,3,18,200
16-12-2019 05:46,5756402753773,5756402753773,16-12-2019 05:46,16-12-2019 06:20,34,2,2,5,5,1,3,16,200
10-12-2019 21:08,0466439453222,0466439453222,10-12-2019 21:08,10-12-2019 22:34,86,4,4,0,0,1,1,16,500
13-12-2019 12:16,7559456473014,7559456473014,13-12-2019 12:16,13-12-2019 13:01,45,4,4,4,4,2,3,18,200
23-12-2019 09:13,8293572408359,8293572408359,23-12-2019 09:13,23-12-2019 10:14,61,3,3,9,9,1,1,16,200
21-12-2019 09:05,3212647514825,3212647514825,21-12-2019 09:05,21-12-2019 10:37,92,4,4,8,8,2,2,18,200
23-12-2019 21:17,3062187653565,3062187653565,23-12-2019 21:17,23-12-2019 22:50,93,1,1,9,9,2,2,18,200
26-12-2019 04:24,4238428851922,4238428851922,26-12-2019 04:24,26-12-2019 05:20,56,2,2,8,8,1,1,16,500
23-12-2019 07:25,1285677249873,1285677249873,23-12-2019 07:25,23-12-2019 07:28,3,2,2,0,0,2,3,16,200
28-12-2019 04:40,4133840832371,4133840832371,28-12-2019 04:40,28-12-2019 05:52,72,0,0,5,5,1,1,18,500
15-12-2019 13:17,9587973258436,9587973258436,15-12-2019 13:17,15-12-2019 13:17,0,5,5,3,3,2,1,18,200
15-12-2019 21:20,6906523081562,6906523081562,15-12-2019 21:20,15-12-2019 22:44,84,5,5,1,1,1,1,16,200
