start_datetime,translated_calling_number,translated_called_number,connect_datetime,disconnect_datetime,charged_duration,originating_carrier_id,originating_transit_carrier_id,terminating_carrier_id,terminating_transit_carrier_id,call_direction
12-05-2018 20:55,1420812639414,1420812639414,12-05-2018 20:55,12-05-2018 21:52,57,0,0,6,6,1
03-05-2018 01:38,0658450960316,0658450960316,03-05-2018 01:38,03-05-2018 02:45,67,1,1,2,2,1
30-05-2018 08:08,4791834555929,4791834555929,30-05-2018 08:08,30-05-2018 09:40,92,9,9,9,9,2
01-05-2018 00:01,9381584218003,9381584218003,01-05-2018 00:01,01-05-2018 01:15,74,3,3,8,8,1
02-05-2018 15:46,7496813870128,7496813870128,02-05-2018 15:46,02-05-2018 16:50,64,5,5,2,2,1
08-05-2018 05:46,5995272783372,5995272783372,08-05-2018 05:46,08-05-2018 05:53,7,8,8,1,1,1
19-05-2018 23:03,2839578920701,2839578920701,19-05-2018 23:03,19-05-2018 23:58,55,6,6,2,2,1
05-05-2018 20:17,9087977127473,9087977127473,05-05-2018 20:17,05-05-2018 20:18,1,7,7,3,3,1
14-05-2018 19:36,7534323165797,7534323165797,14-05-2018 19:36,14-05-2018 21:00,84,6,6,8,8,1
25-05-2018 02:19,7465508230542,7465508230542,25-05-2018 02:19,25-05-2018 02:58,39,3,3,2,2,2
16-05-2018 13:16,7749213989148,7749213989148,16-05-2018 13:16,16-05-2018 13:34,18,1,1,5,5,1
27-05-2018 14:51,4807055318317,4807055318317,27-05-2018 14:51,27-05-2018 16:01,70,5,5,9,9,2
06-05-2018 09:14,6932203720563,6932203720563,06-05-2018 09:14,06-05-2018 10:06,52,5,5,7,7,1
10-05-2018 15:40,1715030362289,1715030362289,10-05-2018 15:40,10-05-2018 16:52,72,6,6,0,0,2
06-05-2018 17:15,5773333835960,5773333835960,06-05-2018 17:15,06-05-2018 17:39,24,8,8,6,6,2
25-05-2018 16:03,8984706136214,8984706136214,25-05-2018 16:03,25-05-2018 16:51,48,5,5,1,1,2
08-05-2018 09:13,5828551672406,5828551672406,08-05-2018 09:14,08-05-2018 09:20,7,3,3,2,2,1
27-05-2018 13:38,3156759737531,3156759737531,27-05-2018 13:38,27-05-2018 14:46,68,3,3,8,8,2
30-05-2018 08:34,7432658007246,7432658007246,30-05-2018 08:34,30-05-2018 08:42,8,7,7,3,3,1
02-05-2018 02:25,9615851596910,9615851596910,02-05-2018 02:25,02-05-2018 03:11,46,3,3,5,5,2
23-05-2018 10:16,2022544057700,2022544057700,23-05-2018 10:16,23-05-2018 11:09,53,6,6,5,5,2
06-05-2018 00:41,1919118721582,1919118721582,06-05-2018 00:41,06-05-2018 00:41,0,0,0,2,2,2
19-05-2018 13:11,7470023747293,7470023747293,19-05-2018 13:11,19-05-2018 14:35,84,8,8,6,6,2
26-05-2018 08:55,8327081372368,8327081372368,26-05-2018 08:55,26-05-2018 10:09,74,6,6,7,7,2
16-05-2018 09:53,2429621079688,2429621079688,16-05-2018 09:53,16-05-2018 10:00,7,7,7,6,6,1
12-05-2018 21:14,3275823076435,3275823076435,12-05-2018 21:14,12-05-2018 21:16,2,0,0,0,0,1
14-05-2018 00:24,9137421259284,9137421259284,14-05-2018 00:24,14-05-2018 00:36,12,5,5,5,5,2
29-05-2018 18:53,3634857578266,3634857578266,29-05-2018 18:53,29-05-2018 19:23,30,2,2,7,7,2
12-05-2018 05:52,7517417326485,7517417326485,12-05-2018 05:52,12-05-2018 06:47,55,6,6,9,9,2
04-05-2018 14:55,2824728049156,2824728049156,04-05-2018 14:55,04-05-2018 16:18,83,9,9,0,0,1
01-05-2018 12:15,5618805908422,5618805908422,01-05-2018 12:15,01-05-2018 12:50,35,7,7,6,6,1
07-05-2018 12:40,9873266626471,9873266626471,07-05-2018 12:40,07-05-2018 13:02,22,8,8,9,9,2
16-05-2018 19:03,5884262433955,5884262433955,16-05-2018 19:03,16-05-2018 19:56,53,7,7,8,8,2
13-05-2018 18:34,0556240869981,0556240869981,13-05-2018 18:34,13-05-2018 19:04,30,3,3,2,2,1
24-05-2018 04:51,5964446435169,5964446435169,24-05-2018 04:51,24-05-2018 05:30,39,5,5,6,6,1
13-05-2018 05:48,3402046179076,3402046179076,13-05-2018 05:48,13-05-2018 07:13,85,8,8,5,5,1
06-05-2018 13:44,4216906045375,4216906045375,06-05-2018 13:44,06-05-2018 13:55,11,0,0,0,0,2
23-05-2018 01:43,8949202024688,8949202024688,23-05-2018 01:43,23-05-2018 02:23,40,7,7,0,0,1
11-05-2018 00:31,9857891913236,9857891913236,11-05-2018 00:31,11-05-2018 00:47,16,9,9,9,9,1
24-05-2018 20:51,2658316616070,2658316616070,24-05-2018 20:51,24-05-2018 21:19,28,3,3,1,1,1
04-05-2018 01:04,5052705107855,5052705107855,04-05-2018 01:04,04-05-2018 01:37,33,7,7,6,6,1
19-05-2018 22:41,4858519993474,4858519993474,19-05-2018 22:41,19-05-2018 22:51,10,3,3,1,1,1
22-05-2018 19:23,3057049278814,3057049278814,22-05-2018 19:23,22-05-2018 20:10,47,4,4,8,8,2
18-05-2018 22:26,5228426821667,5228426821667,18-05-2018 22:26,19-05-2018 00:05,99,2,2,6,6,1
27-05-2018 16:12,7061694405703,7061694405703,27-05-2018 16:12,27-05-2018 16:40,28,0,0,4,4,1
26-05-2018 05:00,3391755225543,3391755225543,26-05-2018 05:00,26-05-2018 06:18,78,6,6,6,6,1
22-05-2018 07:36,2892289896683,2892289896683,22-05-2018 07:36,22-05-2018 08:52,76,2,2,2,2,1
03-05-2018 05:57,5120176444469,5120176444469,03-05-2018 05:57,03-05-2018 06:44,47,1,1,9,9,1
17-05-2018 00:27,1274929541157,1274929541157,17-05-2018 00:27,17-05-2018 01:52,85,5,5,0,0,1
24-05-2018 01:25,1737146409204,1737146409204,24-05-2018 01:25,24-05-2018 02:09,44,1,1,3,3,2
28-05-2018 17:29,9437045741930,9437045741930,28-05-2018 17:29,28-05-2018 18:18,49,1,1,8,8,1
27-05-2018 02:33,6949520604181,6949520604181,27-05-2018 02:33,27-05-2018 03:07,34,7,7,7,7,1
11-05-2018 03:42,8414158758847,8414158758847,11-05-2018 03:42,11-05-2018 04:42,60,3,3,9,9,2
26-05-2018 14:18,2122396117036,2122396117036,26-05-2018 14:19,26-05-2018 15:18,60,7,7,6,6,1
16-05-2018 01:03,6351158739358,6351158739358,16-05-2018 01:03,16-05-2018 01:56,53,7,7,3,3,1
23-05-2018 01:40,3617046710915,3617046710915,23-05-2018 01:41,23-05-2018 03:12,92,8,8,1,1,2
28-05-2018 07:27,4394417486160,4394417486160,28-05-2018 07:27,28-05-2018 08:42,75,8,8,2,2,2
03-05-2018 13:55,5460742286446,5460742286446,03-05-2018 13:55,03-05-2018 14:16,21,5,5,5,5,2
27-05-2018 00:48,1005585914498,1005585914498,27-05-2018 00:48,27-05-2018 01:48,60,1,1,3,3,1
09-05-2018 00:21,6043379657112,6043379657112,09-05-2018 00:21,09-05-2018 00:48,27,2,2,3,3,1
01-05-2018 20:19,4813365134164,4813365134164,01-05-2018 20:19,01-05-2018 21:16,57,0,0,9,9,2
02-05-2018 12:42,9145469343913,9145469343913,02-05-2018 12:42,02-05-2018 13:40,58,9,9,9,9,1
29-05-2018 18:49,8623395882097,8623395882097,29-05-2018 18:49,29-05-2018 19:55,66,9,9,6,6,2
08-05-2018 15:23,9946072800537,9946072800537,08-05-2018 15:23,08-05-2018 15:44,21,3,3,7,7,1
11-05-2018 13:28,2074938530519,2074938530519,11-05-2018 13:28,11-05-2018 13:29,1,9,9,2,2,2
20-05-2018 07:21,7338400007064,7338400007064,20-05-2018 07:21,20-05-2018 08:29,68,0,0,9,9,1
14-05-2018 20:13,6661820900003,6661820900003,14-05-2018 20:13,14-05-2018 21:36,83,7,7,9,9,1
16-05-2018 22:42,3221579939677,3221579939677,16-05-2018 22:42,16-05-2018 23:59,77,2,2,6,6,1
01-05-2018 03:03,0409529092139,0409529092139,01-05-2018 03:03,01-05-2018 03:08,5,9,9,2,2,2
24-05-2018 12:30,2099034960981,2099034960981,24-05-2018 12:30,24-05-2018 14:02,92,9,9,5,5,1
12-05-2018 13:43,5375724074901,5375724074901,12-05-2018 13:43,12-05-2018 15:03,80,6,6,6,6,2
23-05-2018 20:44,2790402347008,2790402347008,23-05-2018 20:44,23-05-2018 20:55,11,8,8,3,3,1
17-05-2018 02:51,8063035756082,8063035756082,17-05-2018 02:51,17-05-2018 03:00,9,6,6,1,1,2
23-05-2018 16:57,3314824390159,3314824390159,23-05-2018 16:57,23-05-2018 17:37,40,6,6,5,5,2
13-05-2018 08:17,5536405303126,5536405303126,13-05-2018 08:17,13-05-2018 08:35,18,1,1,3,3,1
10-05-2018 05:48,2536391407229,2536391407229,10-05-2018 05:48,10-05-2018 07:00,72,4,4,5,5,1
20-05-2018 04:51,8779073783996,8779073783996,20-05-2018 04:51,20-05-2018 06:22,91,1,1,0,0,2
17-05-2018 07:10,6965428477788,6965428477788,17-05-2018 07:10,17-05-2018 07:53,43,9,9,9,9,1
29-05-2018 03:12,6939000359193,6939000359193,29-05-2018 03:12,29-05-2018 04:03,51,9,9,5,5,1
04-05-2018 11:57,5673911859289,5673911859289,04-05-2018 11:57,04-05-2018 12:15,18,4,4,2,2,2
08-05-2018 13:43,7698466376451,7698466376451,08-05-2018 13:43,08-05-2018 14:44,61,3,3,7,7,2
27-05-2018 19:41,0225418257860,0225418257860,27-05-2018 19:41,27-05-2018 21:13,92,7,7,4,4,1
03-05-2018 06:50,3834826811645,3834826811645,03-05-2018 06:50,03-05-2018 08:26,96,2,2,1,1,1
24-05-2018 13:56,0910436114503,0910436114503,24-05-2018 13:56,24-05-2018 14:57,61,3,3,1,1,1
07-05-2018 10:05,8565566368468,8565566368468,07-05-2018 10:05,07-05-2018 10:57,52,1,1,1,1,1
14-05-2018 17:29,0183894086516,0183894086516,14-05-2018 17:29,14-05-2018 18:52,83,7,7,9,9,1
29-05-2018 06:32,5944306952382,5944306952382,29-05-2018 06:32,29-05-2018 07:51,79,1,1,6,6,2
26-05-2018 00:59,3177622608827,3177622608827,26-05-2018 00:59,26-05-2018 01:46,47,4,4,8,8,2
17-05-2018 13:37,3721680116576,3721680116576,17-05-2018 13:37,17-05-2018 13:39,2,7,7,6,6,2
04-05-2018 05:04,5084373609476,5084373609476,04-05-2018 05:04,04-05-2018 05:59,55,1,1,1,1,2
28-05-2018 18:19,8812580145070,8812580145070,28-05-2018 18:19,28-05-2018 19:01,42,7,7,7,7,1
27-05-2018 18:19,4533450959873,4533450959873,27-05-2018 18:19,27-05-2018 19:36,77,6,6,9,9,1
08-05-2018 06:53,9186175880033,9186175880033,08-05-2018 06:53,08-05-2018 07:40,47,9,9,0,0,1
24-05-2018 05:17,0315328074008,0315328074008,24-05-2018 05:17,24-05-2018 06:42,85,5,5,0,0,2
21-05-2018 18:19,3864815579136,3864815579136,21-05-2018 18:19,21-05-2018 19:28,69,8,8,4,4,2
23-05-2018 12:13,6881522063352,6881522063352,23-05-2018 12:13,23-05-2018 13:43,90,2,2,4,4,1
05-05-2018 22:17,1351953570358,1351953570358,05-05-2018 22:17,05-05-2018 23:22,65,4,4,7,7,1
06-05-2018 19:33,8489485584649,8489485584649,06-05-2018 19:33,06-05-2018 20:28,55,6,6,5,5,1
14-05-2018 01:40,4800334119904,4800334119904,14-05-2018 01:40,14-05-2018 03:19,99,6,6,1,1,2
03-05-2018 14:21,9887134012876,9887134012876,03-05-2018 14:21,03-05-2018 15:29,68,3,3,0,0,2
24-05-2018 00:17,8264299677720,8264299677720,24-05-2018 00:17,24-05-2018 00:43,26,4,4,9,9,2
20-05-2018 12:55,2488798483547,2488798483547,20-05-2018 12:55,20-05-2018 12:59,4,2,2,5,5,2
03-05-2018 22:31,9767527181210,9767527181210,03-05-2018 22:31,03-05-2018 23:50,79,5,5,2,2,2
21-05-2018 09:27,1605212899046,1605212899046,21-05-2018 09:27,21-05-2018 09:32,5,9,9,4,4,1
03-05-2018 09:24,0885630333350,0885630333350,03-05-2018 09:24,03-05-2018 10:47,83,7,7,1,1,1
26-05-2018 05:23,0707055780655,0707055780655,26-05-2018 05:23,26-05-2018 06:28,65,8,8,0,0,2
03-05-2018 18:35,3446655512616,3446655512616,03-05-2018 18:35,03-05-2018 19:01,26,8,8,3,3,1
26-05-2018 03:15,3096117533759,3096117533759,26-05-2018 03:15,26-05-2018 04:42,87,5,5,1,1,1
27-05-2018 16:22,2331025836566,2331025836566,27-05-2018 16:22,27-05-2018 17:15,53,3,3,3,3,1
23-05-2018 06:07,7117931749321,7117931749321,23-05-2018 06:07,23-05-2018 07:44,97,8,8,4,4,2
10-05-2018 23:51,5345032536765,5345032536765,10-05-2018 23:51,11-05-2018 01:16,85,1,1,9,9,2
17-05-2018 03:35,1774826166793,1774826166793,17-05-2018 03:35,17-05-2018 04:32,57,2,2,6,6,2
03-05-2018 02:11,4986985747504,4986985747504,03-05-2018 02:11,03-05-2018 02:24,13,6,6,0,0,2
24-05-2018 10:51,6547349825728,6547349825728,24-05-2018 10:51,24-05-2018 12:21,90,1,1,4,4,2
16-05-2018 09:21,5624853742087,5624853742087,16-05-2018 09:21,16-05-2018 09:47,26,0,0,4,4,1
03-05-2018 19:11,6362411825499,6362411825499,03-05-2018 19:11,03-05-2018 19:51,40,8,8,7,7,2
10-05-2018 00:33,5131738906180,5131738906180,10-05-2018 00:33,10-05-2018 00:53,20,5,5,6,6,2
20-05-2018 03:20,1230364504114,1230364504114,20-05-2018 03:20,20-05-2018 04:40,80,4,4,3,3,2
