start_datetime,translated_calling_number,translated_called_number,connect_datetime,disconnect_datetime,charged_duration,originating_carrier_id,originating_transit_carrier_id,terminating_carrier_id,terminating_transit_carrier_id,call_direction,service_type,release_cause_number,sip_response
27-03-2021 22:14,1315641346813,1315641346813,27-03-2021 22:14,27-03-2021 23:37,83,3,3,7,7,2,1,16,200
21-03-2021 04:13,0951744030731,0951744030731,21-03-2021 04:13,21-03-2021 05:11,58,7,7,1,1,2,2,16,300
21-03-2021 04:47,7461505309229,7461505309229,21-03-2021 04:47,21-03-2021 05:39,52,6,6,2,2,1,1,17,200
06-03-2021 09:31,2845266535112,2845266535112,06-03-2021 09:31,06-03-2021 10:54,83,0,0,5,5,1,1,18,300
29-03-2021 07:28,7454670081637,7454670081637,29-03-2021 07:28,29-03-2021 09:05,97,5,5,4,4,2,3,18,404
25-03-2021 13:32,2848402379670,2848402379670,25-03-2021 13:32,25-03-2021 14:04,32,4,4,2,2,2,1,18,200
01-03-2021 21:17,5340277861756,5340277861756,01-03-2021 21:17,01-03-2021 22:12,55,8,8,6,6,1,3,17,404
12-03-2021 08:00,0814538747540,0814538747540,12-03-2021 08:00,12-03-2021 09:27,87,0,0,0,0,1,2,17,200
28-03-2021 19:29,4189370294119,4189370294119,28-03-2021 19:29,28-03-2021 20:31,62,8,8,6,6,2,3,16,300
02-03-2021 09:02,1146530212373,1146530212373,02-03-2021 09:02,02-03-2021 09:08,6,3,3,4,4,1,2,16,500
20-03-2021 16:04,7607080585322,7607080585322,20-03-2021 16:04,20-03-2021 17:29,85,1,1,9,9,1,1,16,200
06-03-2021 22:51,2740631247816,2740631247816,06-03-2021 22:51,06-03-2021 23:36,45,3,3,3,3,2,2,16,300
15-03-2021 19:22,5905266247808,5905266247808,15-03-2021 19:22,15-03-2021 20:35,73,6,6,9,9,2,3,17,200
27-03-2021 13:10,7593399616675,7593399616675,27-03-2021 13:10,27-03-2021 13:28,18,0,0,4,4,1,3,16,200
07-03-2021 13:00,5698082532814,5698082532814,07-03-2021 13:00,07-03-2021 14:30,90,5,5,9,9,2,3,17,200
30-03-2021 16:08,6244208329959,6244208329959,30-03-2021 16:08,30-03-2021 16:11,3,6,6,2,2,2,2,16,200
20-03-2021 06:33,0484566658607,0484566658607,20-03-2021 06:33,20-03-2021 08:09,96,0,0,8,8,1,2,16,200
03-03-2021 12:58,3605670604724,3605670604724,03-03-2021 12:58,03-03-2021 13:04,6,2,2,4,4,2,3,16,200
05-03-2021 08:53,6155650952409,6155650952409,05-03-2021 08:53,05-03-2021 09:18,25,5,5,6,6,1,1,16,200
14-03-2021 11:40,8947057766742,8947057766742,14-03-2021 11:40,14-03-2021 13:00,80,3,3,0,0,1,2,16,404
29-03-2021 02:35,9866699362267,9866699362267,29-03-2021 02:35,29-03-2021 02:37,2,1,1,0,0,2,1,16,500
06-03-2021 21:13,5243733121903,5243733121903,06-03-2021 21:13,06-03-2021 22:10,57,2,2,6,6,2,2,16,300
03-03-2021 07:54,5154060492256,5154060492256,03-03-2021 07:54,03-03-2021 09:07,73,4,4,1,1,2,1,16,500
25-03-2021 22:13,2933936337873,2933936337873,25-03-2021 22:13,25-03-2021 23:25,72,6,6,4,4,1,3,18,200
02-03-2021 14:10,4781769505844,4781769505844,02-03-2021 14:10,02-03-2021 15:21,71,3,3,2,2,1,2,16,404
14-03-2021 20:10,7675248185644,7675248185644,14-03-2021 20:10,14-03-2021 20:33,23,2,2,0,0,1,3,17,200
24-03-2021 12:09,8335447814934,8335447814934,24-03-2021 12:09,24-03-2021 13:37,88,4,4,6,6,2,2,16,300
30-03-2021 02:51,0424432212573,0424432212573,30-03-2021 02:51,30-03-2021 02:52,1,0,0,4,4,1,3,18,500
01-03-2021 12:40,5731140309794,5731140309794,01-03-2021 12:40,01-03-2021 13:11,31,8,8,7,7,1,2,16,404
20-03-2021 01:27,4061212973444,4061212973444,20-03-2021 01:27,20-03-2021 02:08,41,1,1,5,5,1,3,16,200
17-03-2021 20:53,3962235034020,3962235034020,17-03-2021 20:53,17-03-2021 21:32,39,0,0,5,5,2,1,18,200
25-03-2021 08:12,0570170710781,0570170710781,25-03-2021 08:12,25-03-2021 09:49,97,5,5,5,5,2,3,16,200
10-03-2021 13:03,8670556905176,8670556905176,10-03-2021 13:03,10-03-2021 13:07,4,9,9,7,7,2,2,17,500
03-03-2021 10:27,6104616584455,6104616584455,03-03-2021 10:27,03-03-2021 11:20,53,0,0,4,4,1,1,16,200
13-03-2021 03:01,3573048547912,3573048547912,13-03-2021 03:01,13-03-2021 03:47,46,5,5,2,2,2,3,17,200
18-03-2021 00:02,8313814233741,8313814233741,18-03-2021 00:02,18-03-2021 00:52,50,1,1,4,4,2,2,16,200
12-03-2021 20:56,7172424245842,7172424245842,12-03-2021 20:56,12-03-2021 20:56,0,8,8,7,7,2,3,16,200
07-03-2021 03:26,0108784339699,0108784339699,07-03-2021 03:26,07-03-2021 03:54,28,9,9,6,6,2,3,18,200
20-03-2021 08:17,4755932035246,4755932035246,20-03-2021 08:17,20-03-2021 09:56,99,7,7,0,0,1,1,16,300
09-03-2021 16:31,0864039852720,0864039852720,09-03-2021 16:31,09-03-2021 17:48,77,6,6,2,2,2,2,17,300
09-03-2021 19:50,6252382490058,6252382490058,09-03-2021 19:50,09-03-2021 21:13,83,7,7,9,9,1,3,17,200
21-03-2021 21:39,0431933758669,0431933758669,21-03-2021 21:39,21-03-2021 22:43,64,8,8,5,5,2,1,16,200
14-03-2021 01:17,8632452019761,8632452019761,14-03-2021 01:17,14-03-2021 01:44,27,5,5,6,6,2,3,17,404
30-03-2021 18:06,6703874573832,6703874573832,30-03-2021 18:06,30-03-2021 19:06,60,4,4,6,6,2,3,18,200
13-03-2021 17:52,6796972769562,6796972769562,13-03-2021 17:52,13-03-2021 19:03,71,3,3,4,4,2,2,16,200
10-03-2021 20:01,7438148824898,7438148824898,10-03-2021 20:01,10-03-2021 20:06,5,7,7,0,0,1,2,18,200
08-03-2021 03:14,2427840655590,2427840655590,08-03-2021 03:14,08-03-2021 03:42,28,5,5,3,3,1,3,18,500
02-03-2021 05:03,3973599144263,3973599144263,02-03-2021 05:03,02-03-2021 05:57,54,9,9,8,8,1,3,18,404
18-03-2021 06:43,8516085195020,8516085195020,18-03-2021 06:43,18-03-2021 07:18,35,7,7,2,2,2,3,17,404
01-03-2021 00:26,1409137689692,1409137689692,01-03-2021 00:26,01-03-2021 01:33,67,6,6,0,0,1,1,18,500
30-03-2021 17:16,3418182423885,3418182423885,30-03-2021 17:16,30-03-2021 18:05,49,3,3,9,9,1,3,17,404
04-03-2021 15:37,7498763403986,7498763403986,04-03-2021 15:37,04-03-2021 17:03,86,4,4,2,2,2,1,18,500
26-03-2021 04:52,2731528052627,2731528052627,26-03-2021 04:52,26-03-2021 05:46,54,7,7,9,9,2,2,18,300
05-03-2021 07:33,6040562900477,6040562900477,05-03-2021 07:33,05-03-2021 08:57,84,1,1,3,3,1,3,16,404
24-03-2021 21:36,0538169158573,0538169158573,24-03-2021 21:36,24-03-2021 22:20,44,0,0,4,4,2,1,17,404
23-03-2021 21:43,8768003081031,8768003081031,23-03-2021 21:43,23-03-2021 22:40,57,1,1,8,8,2,3,16,404
08-03-2021 06:01,0075811851380,0075811851380,08-03-2021 06:01,08-03-2021 06:05,4,0,0,1,1,1,1,18,200
23-03-2021 16:16,7330250474459,7330250474459,23-03-2021 16:16,23-03-2021 16:52,36,1,1,3,3,1,3,18,200
23-03-2021 11:20,6090418706621,6090418706621,23-03-2021 11:20,23-03-2021 12:22,62,5,5,2,2,1,1,16,200
29-03-2021 16:47,3134312418489,3134312418489,29-03-2021 16:47,29-03-2021 16:54,7,9,9,2,2,1,1,17,300
03-03-2021 23:05,6997607093909,6997607093909,03-03-2021 23:05,04-03-2021 00:12,67,9,9,0,0,1,3,18,200
01-03-2021 14:27,7912645082160,7912645082160,01-03-2021 14:27,01-03-2021 14:55,28,4,4,8,8,1,3,16,500
18-03-2021 03:22,2911203898948,2911203898948,18-03-2021 03:22,18-03-2021 04:05,43,8,8,3,3,2,1,16,404
13-03-2021 00:34,5039554531252,5039554531252,13-03-2021 00:34,13-03-2021 00:54,20,7,7,5,5,2,3,17,200
08-03-2021 16:33,3404252827204,3404252827204,08-03-2021 16:33,08-03-2021 17:03,30,1,1,9,9,2,1,17,404
18-03-2021 02:58,7074323971142,7074323971142,18-03-2021 02:58,18-03-2021 04:37,99,0,0,8,8,1,2,18,500
13-03-2021 09:19,3502118657145,3502118657145,13-03-2021 09:19,13-03-2021 10:49,90,4,4,2,2,1,3,18,300
21-03-2021 01:14,4519659319768,4519659319768,21-03-2021 01:14,21-03-2021 01:31,17,6,6,3,3,1,1,18,200
01-03-2021 05:47,6484160808884,6484160808884,01-03-2021 05:47,01-03-2021 06:34,47,2,2,1,1,1,2,18,500
06-03-2021 08:41,2211443274202,2211443274202,06-03-2021 08:41,06-03-2021 09:03,22,8,8,7,7,1,3,16,404
24-03-2021 05:29,7452258671108,7452258671108,24-03-2021 05:29,24-03-2021 06:38,69,9,9,6,6,2,3,16,500
07-03-2021 18:44,9458313697984,9458313697984,07-03-2021 18:44,07-03-2021 19:42,58,3,3,8,8,1,3,17,200
09-03-2021 21:28,8942502843930,8942502843930,09-03-2021 21:28,09-03-2021 21:56,28,0,0,8,8,2,2,17,500
26-03-2021 20:48,1158195917927,1158195917927,26-03-2021 20:48,26-03-2021 21:39,51,0,0,5,5,2,1,16,500
17-03-2021 11:10,1806092257226,1806092257226,17-03-2021 11:10,17-03-2021 11:46,36,4,4,8,8,2,3,16,200
06-03-2021 11:30,5414694962300,5414694962300,06-03-2021 11:30,06-03-2021 13:03,93,7,7,6,6,2,2,18,300
10-03-2021 18:15,6631276425189,6631276425189,10-03-2021 18:15,10-03-2021 19:40,85,5,5,1,1,1,2,18,200
